A4 A3 A2 A1 A0 EN CS WR Switch_Condition
0 0 0 0 0 0 0 0 1
0 0 0 0 1 0 0 0 2
0 0 0 1 0 0 0 0 3
0 0 0 1 1 0 0 0 4
0 0 1 0 0 0 0 0 5
0 0 1 0 1 0 0 0 6
0 0 1 1 0 0 0 0 7
0 0 1 1 1 0 0 0 8
0 1 0 0 0 0 0 0 9
0 1 0 0 1 0 0 0 10
0 1 0 1 0 0 0 0 11
0 1 0 1 1 0 0 0 12
0 1 1 0 0 0 0 0 13
0 1 1 0 1 0 0 0 14
0 1 1 1 0 0 0 0 15
0 1 1 1 1 0 0 0 16
1 0 0 0 0 0 0 0 17
1 0 0 0 1 0 0 0 18
1 0 0 1 0 0 0 0 19
1 0 0 1 1 0 0 0 20
1 0 1 0 0 0 0 0 21
1 0 1 0 1 0 0 0 22
1 0 1 1 0 0 0 0 23
1 0 1 1 1 0 0 0 24
1 1 0 0 0 0 0 0 25
1 1 0 0 1 0 0 0 26
1 1 0 1 0 0 0 0 27
1 1 0 1 1 0 0 0 28
1 1 1 0 0 0 0 0 29
1 1 1 0 1 0 0 0 30
1 1 1 1 0 0 0 0 31
1 1 1 1 1 0 0 0 32
